Age range; England & Wales; England & Wales; England & Wales; Northern Ireland; Northern Ireland; Northern Ireland; Scotland; Scotland; Scotland; American English; American English
Age range; Name; Alternative/old name; Syllabus; Age range; Name; Syllabus; Age range; Name; Exam; Name; Alternative name
2–4; Preschool (optional); Preschool (optional); Preschool (optional); Preschool (optional); Preschool (optional); Preschool (optional); Preschool (optional); Preschool (optional); Preschool (optional);  ;  
2–4; Nursery; Playgroup; Foundation Stage 1; 2–4; Play School; ; 2–4; Playgroup; ; Daycare; 
3–5; Primary school; Primary school; Primary school; Primary school; Primary school; Primary school; Primary school; Primary school; Primary school;  ;  
3–5; Reception; Infants reception; Foundation Stage 2; 4–5; Primary 1 (P1); 4–5; P1; ; Preschool; Pre-K; 
5–6; Year 1; Infants year 1; Key Stage 1; 5–6; Foundation Stage; P2; 5–6; P2; ; Kindergarten; 
5–6; Year 1; Infants year 1; Key Stage 1; 5–6; Foundation Stage; P2; 5–6; P2; ; 
6–7; Year 2; Infants year 2; Key Stage 1; 6–7; P3; 6–7; P3; ; 1st grade;  ; 
7–8; Year 3; First year Junior; Key Stage 2; 7–8; Key Stage 1; P4; 7–8; P4; ; 2nd grade;  
8–9; Year 4; Second year junior; Key Stage 2; 8–9; P5; 8–9; P5; ; 3rd grade;  ; 
9–10; Year 5; Third year junior; Key Stage 2; 9–10; Key Stage 2; P6; 9–10; P6; ; 4th grade;  
10–11; Year 6; Fourth year junior; Key Stage 2; 10–11; Key Stage 2; P7; 10–11; P7; ; 5th grade;  
11–12; Secondary school / High school; Secondary school / High school; Secondary school / High school; Secondary school / High school; Secondary school / High school; Secondary school / High school; Secondary school / High school; Secondary school / High school; Secondary school / High school; Middle school; Junior high school
11–12; Year 7; First form[ 24]; 11–12; First Form; Key Stage 3; 11–12; S1; ; 6th grade;  ; 
12–13; Year 8; Key Stage 3; Second form; 12–13; Key Stage 3; Second Form; 12–13; S2; ; 7th grade;  
13–14; Year 9; Key Stage 3; Third form; 13–14; Key Stage 3; Third form; 13–14; S3; ; 8th grade;  
14–15; Year 10; Fourth form; Key Stage 4, GCSE; 14–15; Fourth form; Key Stage 4, GCSE; 14–15; S4; ; High school; High school
14–15; Year 10; Fourth form; Key Stage 4, GCSE; 14–15; Fourth form; Key Stage 4, GCSE; 14–15; S4; ; 9th grade; Freshman year
15–16; Year 11; Fifth form; Key Stage 4, GCSE; 15–16; Fifth form; Key Stage 4, GCSE; 15–16; S5; Highers; 10th grade; Sophomore year
16–17; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; Sixth form / FE College[ 25]; 11th grade; Junior year
16–17; Year 12; Lower sixth (first year); 16–17; Lower sixth; Key Stage 5, A level; 16–17; S6; Advanced Highers; 11th grade; Junior year
17–18; Year 13; Key Stage 5, A level; Upper sixth (second year); 17–18; Key Stage 5, A level; 16–17; S6; Advanced Highers; Upper sixth; 12th grade; Senior year
